,rank,country,democracy_index,electoral_processand_pluralism,functioning_of_government,political_participation,political_culture,civil_liberties,category
0,1,Norway,9.87,10.00,9.64,10.00,10.00,9.71,Full democracy
1,2,Iceland,9.58,10.00,9.29,8.89,10.00,9.71,Full democracy
2,3,Sweden,9.39,9.58,9.64,8.33,10.00,9.41,Full democracy
3,4,New Zealand,9.26,10.00,9.29,8.89,8.13,10.00,Full democracy
4,5,Denmark,9.22,10.00,9.29,8.33,9.38,9.12,Full democracy
5,=6,Ireland,9.15,9.58,7.86,8.33,10.00,10.00,Full democracy
6,=6,Canada,9.15,9.58,9.64,7.78,8.75,10.00,Full democracy
7,8,Finland,9.14,10.00,8.93,8.33,8.75,9.71,Full democracy
8,9,Australia,9.09,10.00,8.93,7.78,8.75,10.00,Full democracy
9,10,Switzerland,9.03,9.58,9.29,7.78,9.38,9.12,Full democracy
10,11,Netherlands,8.89,9.58,9.29,8.33,8.13,9.12,Full democracy
11,12,Luxembourg,8.81,10.00,8.93,6.67,8.75,9.71,Full democracy
12,13,Germany,8.68,9.58,8.57,8.33,7.50,9.41,Full democracy
13,14,United Kingdom,8.53,9.58,7.50,8.33,8.13,9.12,Full democracy
14,15,Uruguay,8.38,10.00,8.57,6.11,7.50,9.71,Full democracy
15,16,Austria,8.29,9.58,7.86,8.33,6.88,8.82,Full democracy
16,17,Mauritius,8.22,9.17,8.21,5.56,8.75,9.41,Full democracy
17,18,Malta,8.21,9.17,8.21,6.11,8.75,8.82,Full democracy
18,19,Spain,8.08,9.17,7.14,7.78,7.50,8.82,Full democracy
19,20,Costa Rica,8.07,9.58,7.50,6.67,7.50,9.12,Full democracy
20,21,South Korea,8.00,9.17,7.86,7.22,7.50,8.24,Flawed democracy
21,22,Japan,7.99,8.75,8.21,6.67,7.50,8.82,Flawed democracy
22,=23,Chile,7.97,9.58,8.57,4.44,8.13,9.12,Flawed democracy
23,=23,Estonia,7.97,9.58,8.21,6.67,6.88,8.53,Flawed democracy
24,25,United States,7.96,9.17,7.14,7.78,7.50,8.24,Flawed democracy
25,26,Cape Verde,7.88,9.17,7.86,6.67,6.88,8.82,Flawed democracy
26,27,Portugal,7.84,9.58,7.50,6.11,6.88,9.12,Flawed democracy
27,28,Botswana,7.81,9.17,7.14,6.11,7.50,9.12,Flawed democracy
28,29,France,7.80,9.58,7.50,7.78,5.63,8.53,Flawed democracy
29,30,Israel,7.79,9.17,7.50,8.89,7.50,5.88,Flawed democracy
30,31,Belgium,7.78,9.58,8.93,5.00,6.88,8.53,Flawed democracy
31,32,Republic of China (Taiwan),7.73,9.58,8.21,6.11,5.63,9.12,Flawed democracy
32,33,Italy,7.71,9.58,6.07,7.78,6.88,8.24,Flawed democracy
33,34,Czech Republic,7.69,9.58,6.79,6.67,6.88,8.53,Flawed democracy
34,35,Cyprus,7.59,9.17,6.43,6.67,6.88,8.82,Flawed democracy
35,=36,Slovenia,7.50,9.58,6.79,6.67,6.25,8.24,Flawed democracy
36,=36,Lithuania,7.50,9.58,6.43,6.11,6.25,9.12,Flawed democracy
37,38,Latvia,7.38,9.58,6.07,5.56,6.88,8.82,Flawed democracy
38,39,Greece,7.29,9.58,5.36,6.11,6.88,8.53,Flawed democracy
39,40,South Africa,7.24,7.42,7.50,8.33,5.00,7.94,Flawed democracy
40,41,India,7.23,9.17,6.79,7.22,5.63,7.35,Flawed democracy
41,42,Timor-Leste,7.19,9.08,6.79,5.56,6.88,7.65,Flawed democracy
42,43,Trinidad and Tobago,7.16,9.58,7.14,6.11,5.63,7.35,Flawed democracy
43,44,Slovakia,7.10,9.58,6.79,5.56,5.63,7.94,Flawed democracy
44,45,Panama,7.05,9.58,6.07,6.67,5.00,7.94,Flawed democracy
45,46,Bulgaria,7.03,9.17,6.43,7.22,4.38,7.94,Flawed democracy
46,=47,Argentina,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy
47,=47,Jamaica,7.02,8.75,7.14,4.44,6.25,8.53,Flawed democracy
48,49,Suriname,6.98,9.17,6.43,6.67,5.00,7.65,Flawed democracy
49,50,Brazil,6.97,9.58,5.36,6.67,5.00,8.24,Flawed democracy
50,51,Colombia,6.96,9.17,6.79,5.00,5.63,8.24,Flawed democracy
51,52,Malaysia,6.88,7.75,7.86,6.67,6.25,5.88,Flawed democracy
52,53,Philippines,6.71,9.17,5.71,7.22,4.38,7.06,Flawed democracy
53,=54,Poland,6.67,9.17,6.07,6.11,4.38,7.65,Flawed democracy
54,=54,Guyana,6.67,9.17,5.71,6.11,5.00,7.35,Flawed democracy
55,56,Lesotho,6.64,9.17,5.00,6.67,5.63,6.76,Flawed democracy
56,=57,Ghana,6.63,8.33,5.71,6.67,6.25,6.18,Flawed democracy
57,=57,Hungary,6.63,8.75,6.07,5.00,6.25,7.06,Flawed democracy
58,59,Peru,6.60,9.17,5.00,5.56,5.63,7.65,Flawed democracy
59,60,Croatia,6.57,9.17,6.07,5.56,5.00,7.06,Flawed democracy
60,61,Dominican Republic,6.54,9.17,5.36,6.11,5.00,7.06,Flawed democracy
61,62,Mongolia,6.50,9.17,5.71,5.56,5.00,7.06,Flawed democracy
62,=63,Serbia,6.41,8.25,5.36,6.11,5.00,7.35,Flawed democracy
63,=63,Tunisia,6.41,6.42,5.71,7.78,6.25,5.88,Flawed democracy
64,65,Indonesia,6.39,6.92,7.14,6.67,5.63,5.59,Flawed democracy
65,=66,Singapore,6.38,4.33,7.86,6.11,6.25,7.35,Flawed democracy
66,=66,Romania,6.38,9.17,5.71,5.00,4.38,7.65,Flawed democracy
67,68,Ecuador,6.27,8.75,5.36,6.11,4.38,6.76,Flawed democracy
68,69,Namibia,6.25,5.67,5.36,6.67,5.63,7.94,Flawed democracy
69,70,Paraguay,6.24,8.75,5.71,5.00,4.38,7.35,Flawed democracy
70,=71,Sri Lanka,6.19,7.83,5.71,5.00,6.25,6.18,Flawed democracy
71,=71,Mexico,6.19,8.33,6.07,7.22,3.13,6.18,Flawed democracy
72,=73,Hong Kong,6.15,3.08,6.07,5.56,7.50,8.53,Flawed democracy
73,=73,Senegal,6.15,7.50,6.07,4.44,6.25,6.47,Flawed democracy
74,75,Papua New Guinea,6.03,6.92,6.07,3.89,5.63,7.65,Flawed democracy
75,76,Albania,5.98,7.00,4.71,5.56,5.00,7.65,Hybrid regime
76,77,El Salvador,5.96,9.17,4.29,5.56,3.75,7.06,Hybrid regime
77,78,North Macedonia,5.87,6.50,5.36,6.67,3.75,7.06,Hybrid regime
78,=79,Moldova,5.85,7.08,4.64,6.11,4.38,7.06,Hybrid regime
79,=79,Fiji,5.85,6.58,5.36,6.11,5.63,5.59,Hybrid regime
80,=81,Montenegro,5.74,6.08,5.36,6.11,4.38,6.76,Hybrid regime
81,=81,Benin,5.74,6.50,5.71,5.00,5.63,5.88,Hybrid regime
82,83,Bolivia,5.70,7.50,4.64,5.56,3.75,7.06,Hybrid regime
83,84,Ukraine,5.69,6.17,3.21,6.67,6.25,6.18,Hybrid regime
